Timestamp,Do you shop for fashion items online? ,How often do you search for fashion items online?  ,Look at the image below and select how you would describe it if you were searching for this item online. (1),Look at the image below and select how you would describe it if you were searching for this item online. (2),Look at the image below and select how you would describe it if you were searching for this item online. (1),Look at the image below and select how you would describe it if you were searching for this item online. (2),"When you search for fashion items online, how do you typically describe what you're looking for?  (e.g., ""Goa trip outfits,"" ""floral half sleeve relaxed fit"")  ",Do you find it challenging to find fashion items that match the vibe or aesthetic you have in mind on popular online fashion websites?  ,How do you typically describe the fashion items you're searching for? (Choose the option that best applies)  
6/26/2024 17:24:55,Yes,During occasions,Gold Partywear Bodycon,Pastel Blue Floral Dress,Men Standard Corduroy Cotton Shirt,Monochrome Black Jacket,"by the specific occasion/purpose/vibe of the dress, along with certain requirements like fitting, style etc",Yes,"By specific details of tailoring or fit (e.g., ""tight fit white long dress,"" ""flowy bib collar light green dress"")"
6/26/2024 17:39:09,Yes,During occasions,Gold Partywear Bodycon,Pastel Blue Floral Dress,Brown Minimalist Men Wear,Monochrome Black Jacket,Party wear dresses ,Yes,"By its vibe or aesthetic (e.g., ""minimalist dress,"" ""chic outfit,"" ""romantic dress,"" ""picnic dress"")"
6/26/2024 17:50:25,Yes,During occasions,Gold Partywear Bodycon,Pastel Blue Floral Dress,Brown Minimalist Men Wear,Monochrome Black Jacket,,Yes,Depends
6/26/2024 18:12:40,Yes,During occasions,Partywear,Pastel Blue Floral Dress,Western Shirts,Black Jacket,,Yes,Depends
6/26/2024 18:15:18,Yes,During occasions,Partywear,Pastel Blue Floral Dress,Western Shirts,Black Jacket,"Floral,party wear",Yes,"By its vibe or aesthetic (e.g., ""minimalist dress,"" ""chic outfit,"" ""romantic dress,"" ""picnic dress"")"
6/26/2024 18:25:28,Yes,Daily,Partywear,Floral Printed Square Neck A-Line Midi Dress,Western Shirts,Black Jacket,"Festive wear,party wear, formal wear",Yes,"By its vibe or aesthetic (e.g., ""minimalist dress,"" ""chic outfit,"" ""romantic dress,"" ""picnic dress"")"
6/26/2024 18:26:00,Yes,During occasions,Partywear,Pastel Blue Floral Dress,Western Shirts,Checked Ombre Printed Mock Collar Bomber Jacket,Tshirts casual,No,Depends
6/26/2024 18:27:41,No,Never,Partywear,Casual Dresses,Western Shirts,Black Jacket,,Yes,Depends
6/26/2024 18:33:13,Yes,Weekly,Gold Partywear Bodycon,Pastel Blue Floral Dress,Western Shirts,Black Jacket,,Yes,"By specific details of tailoring or fit (e.g., ""tight fit white long dress,"" ""flowy bib collar light green dress"")"
6/26/2024 18:36:18,Yes,Weekly,Partywear,Floral Printed Square Neck A-Line Midi Dress,Western Shirts,Black Jacket,Beach outfits,Yes,"By its vibe or aesthetic (e.g., ""minimalist dress,"" ""chic outfit,"" ""romantic dress,"" ""picnic dress"")"
6/26/2024 18:36:39,Yes,Weekly,Gold Partywear Bodycon,Casual Dresses,Western Shirts,Black Jacket,,Yes,"By its vibe or aesthetic (e.g., ""minimalist dress,"" ""chic outfit,"" ""romantic dress,"" ""picnic dress"")"
6/26/2024 18:37:13,Yes,Weekly,Gold-Toned Embellished Sequined Bodycon Dress,Floral Printed Square Neck A-Line Midi Dress,Men Standard Corduroy Cotton Shirt,Checked Ombre Printed Mock Collar Bomber Jacket,Zara denim jackets,No,Depends
6/26/2024 18:38:03,Yes,During occasions,Partywear,Casual Dresses,Men Standard Corduroy Cotton Shirt,Checked Ombre Printed Mock Collar Bomber Jacket,,Yes,"By specific details of tailoring or fit (e.g., ""tight fit white long dress,"" ""flowy bib collar light green dress"")"
6/26/2024 18:41:02,Yes,Weekly,Partywear,Casual Dresses,Western Shirts,Black Jacket,Maxi dresses,Maybe,Depends
6/26/2024 18:41:03,Yes,Weekly,Partywear,Casual Dresses,Western Shirts,Black Jacket,Casual wear,Maybe,Depends
6/26/2024 18:50:22,Yes,Daily,Partywear,Floral Printed Square Neck A-Line Midi Dress,Men Standard Corduroy Cotton Shirt,Checked Ombre Printed Mock Collar Bomber Jacket,Goa outfits ,Maybe,Depends
6/26/2024 18:52:26,Yes,During occasions,Gold Partywear Bodycon,Pastel Blue Floral Dress,Western Shirts,Black Jacket,Western outfits,Maybe,Depends
6/26/2024 18:56:21,Yes,During occasions,Partywear,Casual Dresses,Brown Minimalist Men Wear,Black Jacket,,No,"By specific details of tailoring or fit (e.g., ""tight fit white long dress,"" ""flowy bib collar light green dress"")"
6/26/2024 19:02:05,Yes,Weekly,Gold Partywear Bodycon,Casual Dresses,Western Shirts,Black Jacket,Floral tops or crop tops,Maybe,"By specific details of tailoring or fit (e.g., ""tight fit white long dress,"" ""flowy bib collar light green dress"")"
6/26/2024 19:13:38,Yes,During occasions,Gold Partywear Bodycon,Pastel Blue Floral Dress,Brown Minimalist Men Wear,Black Jacket,,Yes,"By specific details of tailoring or fit (e.g., ""tight fit white long dress,"" ""flowy bib collar light green dress"")"
6/26/2024 19:29:33,Yes,During occasions,Gold Partywear Bodycon,Pastel Blue Floral Dress,Brown Minimalist Men Wear,Monochrome Black Jacket,Frocks with full sleeves ,Yes,"By specific details of tailoring or fit (e.g., ""tight fit white long dress,"" ""flowy bib collar light green dress"")"
6/26/2024 19:30:44,Yes,During occasions,Gold-Toned Embellished Sequined Bodycon Dress,Floral Printed Square Neck A-Line Midi Dress,Brown Minimalist Men Wear,Black Jacket,,Maybe,"By specific details of tailoring or fit (e.g., ""tight fit white long dress,"" ""flowy bib collar light green dress"")"
6/26/2024 20:00:42,Yes,During occasions,Gold Partywear Bodycon,Pastel Blue Floral Dress,Western Shirts,Monochrome Black Jacket,,Yes,Depends
6/26/2024 20:07:36,Yes,During occasions,Gold Partywear Bodycon,Pastel Blue Floral Dress,Brown Minimalist Men Wear,Monochrome Black Jacket,high waist wide leg jeans,Maybe,Depends
6/26/2024 20:10:24,Yes,Weekly,Gold Partywear Bodycon,Floral Printed Square Neck A-Line Midi Dress,Brown Minimalist Men Wear,Monochrome Black Jacket,,Maybe,Depends
6/26/2024 20:10:52,Yes,During occasions,Gold Partywear Bodycon,Pastel Blue Floral Dress,Western Shirts,Black Jacket,Dresses jeans tops,Yes,Depends
6/26/2024 20:19:49,Yes,During occasions,Gold-Toned Embellished Sequined Bodycon Dress,Pastel Blue Floral Dress,Brown Minimalist Men Wear,Monochrome Black Jacket,Very often,Yes,Depends
6/26/2024 20:22:32,Yes,Daily,Gold Partywear Bodycon,Pastel Blue Floral Dress,Men Standard Corduroy Cotton Shirt,Monochrome Black Jacket,,No,Depends
6/26/2024 20:23:47,No,During occasions,Partywear,Casual Dresses,Brown Minimalist Men Wear,Black Jacket,Casual outfits,Yes,"By its vibe or aesthetic (e.g., ""minimalist dress,"" ""chic outfit,"" ""romantic dress,"" ""picnic dress"")"
6/26/2024 23:40:08,Yes,Weekly,Partywear,Casual Dresses,Western Shirts,Black Jacket,Single piece  frocks ,Yes,Depends
6/27/2024 8:23:43,Yes,Daily,Gold Partywear Bodycon,Pastel Blue Floral Dress,Brown Minimalist Men Wear,Black Jacket,Goa trip outfits ,Maybe,"By its vibe or aesthetic (e.g., ""minimalist dress,"" ""chic outfit,"" ""romantic dress,"" ""picnic dress"")"
6/27/2024 11:12:45,Yes,Daily,Gold Partywear Bodycon,Floral Printed Square Neck A-Line Midi Dress,Brown Minimalist Men Wear,Monochrome Black Jacket,Puffed sleeves white crop top,Maybe,Depends
6/27/2024 11:16:22,Yes,Daily,Gold-Toned Embellished Sequined Bodycon Dress,Pastel Blue Floral Dress,Men Standard Corduroy Cotton Shirt,Checked Ombre Printed Mock Collar Bomber Jacket,,Maybe,"By specific details of tailoring or fit (e.g., ""tight fit white long dress,"" ""flowy bib collar light green dress"")"
6/27/2024 11:16:31,Yes,During occasions,Partywear,Pastel Blue Floral Dress,Western Shirts,Black Jacket,,Yes,Depends
6/27/2024 11:22:38,Yes,During occasions,Gold Partywear Bodycon,Pastel Blue Floral Dress,Brown Minimalist Men Wear,Black Jacket,,No,"By its vibe or aesthetic (e.g., ""minimalist dress,"" ""chic outfit,"" ""romantic dress,"" ""picnic dress"")"
6/27/2024 11:23:49,Yes,Daily,Gold-Toned Embellished Sequined Bodycon Dress,Pastel Blue Floral Dress,Brown Minimalist Men Wear,Monochrome Black Jacket,Floral A-line dress ,Maybe,Depends
6/27/2024 11:25:37,No,Weekly,Gold Partywear Bodycon,Floral Printed Square Neck A-Line Midi Dress,Brown Minimalist Men Wear,Monochrome Black Jacket,Cute bodycon outfits for birthdays ,Maybe,"By specific details of tailoring or fit (e.g., ""tight fit white long dress,"" ""flowy bib collar light green dress"")"
6/27/2024 11:28:47,Yes,Weekly,Gold Partywear Bodycon,Floral Printed Square Neck A-Line Midi Dress,Brown Minimalist Men Wear,Monochrome Black Jacket,High straight leg jeans ,Maybe,"By specific details of tailoring or fit (e.g., ""tight fit white long dress,"" ""flowy bib collar light green dress"")"
6/27/2024 11:45:00,No,During occasions,Gold Partywear Bodycon,Casual Dresses,Western Shirts,Monochrome Black Jacket,High neck sleeve t-shirt ,Yes,Depends
6/27/2024 11:49:13,Yes,During occasions,Gold Partywear Bodycon,Floral Printed Square Neck A-Line Midi Dress,Brown Minimalist Men Wear,Black Jacket,,Maybe,"By its vibe or aesthetic (e.g., ""minimalist dress,"" ""chic outfit,"" ""romantic dress,"" ""picnic dress"")"
6/27/2024 11:58:42,Yes,During occasions,Gold Partywear Bodycon,Casual Dresses,Western Shirts,Black Jacket,I would search with the preferred categories.,No,Depends
6/27/2024 12:04:47,Yes,During occasions,Gold Partywear Bodycon,Pastel Blue Floral Dress,Western Shirts,Monochrome Black Jacket,floral print dresses ,Yes,Depends
6/27/2024 12:11:41,Yes,During occasions,Gold Partywear Bodycon,Floral Printed Square Neck A-Line Midi Dress,Brown Minimalist Men Wear,Monochrome Black Jacket,,Yes,"By its vibe or aesthetic (e.g., ""minimalist dress,"" ""chic outfit,"" ""romantic dress,"" ""picnic dress"")"
6/27/2024 12:13:00,Yes,Daily,Gold-Toned Embellished Sequined Bodycon Dress,Floral Printed Square Neck A-Line Midi Dress,Men Standard Corduroy Cotton Shirt,Checked Ombre Printed Mock Collar Bomber Jacket,"Mostly with neck & sleeve patterns ..like square,flower ..",Yes,"By its vibe or aesthetic (e.g., ""minimalist dress,"" ""chic outfit,"" ""romantic dress,"" ""picnic dress"")"
6/27/2024 12:28:05,Yes,Weekly,Gold-Toned Embellished Sequined Bodycon Dress,Floral Printed Square Neck A-Line Midi Dress,Brown Minimalist Men Wear,Monochrome Black Jacket,"Mini dresses , angrakha dresses",Yes,"By its vibe or aesthetic (e.g., ""minimalist dress,"" ""chic outfit,"" ""romantic dress,"" ""picnic dress"")"
6/27/2024 12:30:28,Yes,Daily,Gold-Toned Embellished Sequined Bodycon Dress,Pastel Blue Floral Dress,Western Shirts,Monochrome Black Jacket,,Maybe,"By its vibe or aesthetic (e.g., ""minimalist dress,"" ""chic outfit,"" ""romantic dress,"" ""picnic dress"")"
6/27/2024 12:34:22,Yes,Weekly,Gold-Toned Embellished Sequined Bodycon Dress,Pastel Blue Floral Dress,Brown Minimalist Men Wear,Black Jacket,,Yes,Depends
6/27/2024 12:36:21,Yes,Daily,Gold Partywear Bodycon,Pastel Blue Floral Dress,Brown Minimalist Men Wear,Black Jacket,Floral dressess ,Maybe,"By its vibe or aesthetic (e.g., ""minimalist dress,"" ""chic outfit,"" ""romantic dress,"" ""picnic dress"")"
6/27/2024 12:49:56,Yes,Weekly,Gold Partywear Bodycon,Pastel Blue Floral Dress,Brown Minimalist Men Wear,Monochrome Black Jacket,I black body con mini slit wear,Maybe,Depends
6/27/2024 13:03:28,Yes,During occasions,Partywear,Pastel Blue Floral Dress,Brown Minimalist Men Wear,Monochrome Black Jacket,Linen Shirts,Yes,Depends
6/27/2024 13:04:13,Yes,Daily,Gold Partywear Bodycon,Casual Dresses,Western Shirts,Black Jacket,,Yes,"By its vibe or aesthetic (e.g., ""minimalist dress,"" ""chic outfit,"" ""romantic dress,"" ""picnic dress"")"
6/27/2024 13:52:17,Yes,Weekly,Gold Partywear Bodycon,Floral Printed Square Neck A-Line Midi Dress,Brown Minimalist Men Wear,Checked Ombre Printed Mock Collar Bomber Jacket,,No,"By its vibe or aesthetic (e.g., ""minimalist dress,"" ""chic outfit,"" ""romantic dress,"" ""picnic dress"")"
6/27/2024 14:55:14,Yes,During occasions,Gold Partywear Bodycon,Floral Printed Square Neck A-Line Midi Dress,Brown Minimalist Men Wear,Monochrome Black Jacket,Comfy outfit ,Maybe,"By its vibe or aesthetic (e.g., ""minimalist dress,"" ""chic outfit,"" ""romantic dress,"" ""picnic dress"")"
6/27/2024 15:19:18,Yes,During occasions,Partywear,Casual Dresses,Brown Minimalist Men Wear,Monochrome Black Jacket,I describe the fashion item based on the environment which it is suitable for ,Yes,Depends
6/27/2024 15:52:37,Yes,During occasions,Partywear,Casual Dresses,Western Shirts,Black Jacket,Travel fits,Yes,Depends
6/27/2024 16:02:55,Yes,Weekly,Gold Partywear Bodycon,Pastel Blue Floral Dress,Western Shirts,Monochrome Black Jacket,"V neck , bodycon ",Maybe,"By its vibe or aesthetic (e.g., ""minimalist dress,"" ""chic outfit,"" ""romantic dress,"" ""picnic dress"")"
6/27/2024 16:07:12,Yes,Daily,Gold Partywear Bodycon,Casual Dresses,Men Standard Corduroy Cotton Shirt,Black Jacket,Birthday outfits,No,"By its vibe or aesthetic (e.g., ""minimalist dress,"" ""chic outfit,"" ""romantic dress,"" ""picnic dress"")"
6/27/2024 16:09:27,Yes,Weekly,Partywear,Casual Dresses,Brown Minimalist Men Wear,Black Jacket,Dress outfits ,Maybe,Depends
6/27/2024 16:59:46,Yes,During occasions,Partywear,Casual Dresses,Brown Minimalist Men Wear,Checked Ombre Printed Mock Collar Bomber Jacket,,Maybe,"By its vibe or aesthetic (e.g., ""minimalist dress,"" ""chic outfit,"" ""romantic dress,"" ""picnic dress"")"
6/27/2024 17:20:32,Yes,During occasions,Gold Partywear Bodycon,Pastel Blue Floral Dress,Brown Minimalist Men Wear,Monochrome Black Jacket,,Maybe,Depends
6/27/2024 19:21:07,Yes,Weekly,Gold Partywear Bodycon,Pastel Blue Floral Dress,Brown Minimalist Men Wear,Checked Ombre Printed Mock Collar Bomber Jacket,Party outfits ,Maybe,"By its vibe or aesthetic (e.g., ""minimalist dress,"" ""chic outfit,"" ""romantic dress,"" ""picnic dress"")"
6/28/2024 0:37:47,Yes,During occasions,Gold Partywear Bodycon,Casual Dresses,Western Shirts,Black Jacket,Dresses,No,Depends
6/28/2024 13:51:40,Yes,Weekly,Gold Partywear Bodycon,Pastel Blue Floral Dress,Western Shirts,Black Jacket,Trendy clothes ,Yes,"By its vibe or aesthetic (e.g., ""minimalist dress,"" ""chic outfit,"" ""romantic dress,"" ""picnic dress"")"
6/28/2024 14:25:56,Yes,Weekly,Gold-Toned Embellished Sequined Bodycon Dress,Pastel Blue Floral Dress,Western Shirts,Black Jacket,floral half sleeve relaxed fit,Yes,Depends
6/28/2024 14:32:11,Yes,During occasions,Gold Partywear Bodycon,Pastel Blue Floral Dress,Men Standard Corduroy Cotton Shirt,Black Jacket,Loose fit cargos,Maybe,Depends
6/28/2024 14:47:52,Yes,During occasions,Gold-Toned Embellished Sequined Bodycon Dress,Pastel Blue Floral Dress,Men Standard Corduroy Cotton Shirt,Monochrome Black Jacket,The items name and the color.,Yes,Depends
6/28/2024 15:35:01,Yes,During occasions,Gold-Toned Embellished Sequined Bodycon Dress,Pastel Blue Floral Dress,Brown Minimalist Men Wear,Monochrome Black Jacket,Comfort relaxed cotton outfits ,Yes,"By its vibe or aesthetic (e.g., ""minimalist dress,"" ""chic outfit,"" ""romantic dress,"" ""picnic dress"")"
6/28/2024 16:10:17,Yes,During occasions,Gold Partywear Bodycon,Casual Dresses,Western Shirts,Black Jacket,Dresses ,No,Depends
6/28/2024 20:15:00,Yes,Daily,Gold Partywear Bodycon,Casual Dresses,Western Shirts,Black Jacket,,Yes,Depends
6/28/2024 20:37:17,Yes,Weekly,Gold Partywear Bodycon,Pastel Blue Floral Dress,Western Shirts,Black Jacket,"Summer dress, summer tops, Pinterest outfit",Maybe,"By its vibe or aesthetic (e.g., ""minimalist dress,"" ""chic outfit,"" ""romantic dress,"" ""picnic dress"")"
6/29/2024 10:08:24,Yes,During occasions,Gold-Toned Embellished Sequined Bodycon Dress,Pastel Blue Floral Dress,Men Standard Corduroy Cotton Shirt,Monochrome Black Jacket,,Yes,Depends
6/29/2024 10:53:43,Yes,During occasions,Gold-Toned Embellished Sequined Bodycon Dress,Pastel Blue Floral Dress,Brown Minimalist Men Wear,Monochrome Black Jacket,Floral ,No,"By its vibe or aesthetic (e.g., ""minimalist dress,"" ""chic outfit,"" ""romantic dress,"" ""picnic dress"")"
6/29/2024 18:09:00,Yes,During occasions,Gold Partywear Bodycon,Pastel Blue Floral Dress,Brown Minimalist Men Wear,Monochrome Black Jacket,Blue colour bodycon,Yes,"By specific details of tailoring or fit (e.g., ""tight fit white long dress,"" ""flowy bib collar light green dress"")"
6/29/2024 18:12:00,Yes,During occasions,Gold Partywear Bodycon,Pastel Blue Floral Dress,Western Shirts,Black Jacket,Maxi frocks,Maybe,Depends
6/29/2024 18:13:05,Yes,Daily,Gold-Toned Embellished Sequined Bodycon Dress,Pastel Blue Floral Dress,Brown Minimalist Men Wear,Checked Ombre Printed Mock Collar Bomber Jacket,Western wear ,No,"By its vibe or aesthetic (e.g., ""minimalist dress,"" ""chic outfit,"" ""romantic dress,"" ""picnic dress"")"
6/29/2024 18:13:14,No,During occasions,Gold Partywear Bodycon,Pastel Blue Floral Dress,Brown Minimalist Men Wear,Black Jacket,Floral maxi dress ,Maybe,"By specific details of tailoring or fit (e.g., ""tight fit white long dress,"" ""flowy bib collar light green dress"")"
6/29/2024 18:13:42,Yes,During occasions,Gold Partywear Bodycon,Pastel Blue Floral Dress,Western Shirts,Black Jacket,Partywear dresses,Yes,"By its vibe or aesthetic (e.g., ""minimalist dress,"" ""chic outfit,"" ""romantic dress,"" ""picnic dress"")"
6/29/2024 18:14:49,Yes,During occasions,Gold Partywear Bodycon,Pastel Blue Floral Dress,Brown Minimalist Men Wear,Monochrome Black Jacket,,Yes,"By specific details of tailoring or fit (e.g., ""tight fit white long dress,"" ""flowy bib collar light green dress"")"
6/29/2024 18:16:12,Yes,Weekly,Gold Partywear Bodycon,Casual Dresses,Brown Minimalist Men Wear,Black Jacket,,Yes,"By specific details of tailoring or fit (e.g., ""tight fit white long dress,"" ""flowy bib collar light green dress"")"
6/29/2024 18:21:45,Yes,Weekly,Gold Partywear Bodycon,Pastel Blue Floral Dress,Brown Minimalist Men Wear,Black Jacket,"Casual wear,bodycon,sleeveless tops,etc",Yes,Depends
6/29/2024 18:41:15,Yes,Weekly,Gold Partywear Bodycon,Floral Printed Square Neck A-Line Midi Dress,Brown Minimalist Men Wear,Black Jacket,"Croptops brown , cargo pants for girls",Yes,Depends
6/29/2024 19:17:07,Yes,During occasions,Partywear,Pastel Blue Floral Dress,Brown Minimalist Men Wear,Monochrome Black Jacket,,Maybe,Depends
6/29/2024 19:20:49,Yes,During occasions,Partywear,Pastel Blue Floral Dress,Men Standard Corduroy Cotton Shirt,Checked Ombre Printed Mock Collar Bomber Jacket,Birthday dresses,Yes,"By its vibe or aesthetic (e.g., ""minimalist dress,"" ""chic outfit,"" ""romantic dress,"" ""picnic dress"")"
6/29/2024 19:31:55,Yes,Weekly,Partywear,Casual Dresses,Men Standard Corduroy Cotton Shirt,Monochrome Black Jacket,,Maybe,Depends
6/29/2024 19:33:04,Yes,Weekly,Gold Partywear Bodycon,Pastel Blue Floral Dress,Brown Minimalist Men Wear,Monochrome Black Jacket,Trend tshirts ,Maybe,"By its vibe or aesthetic (e.g., ""minimalist dress,"" ""chic outfit,"" ""romantic dress,"" ""picnic dress"")"
6/29/2024 19:36:59,No,Weekly,Gold Partywear Bodycon,Pastel Blue Floral Dress,Men Standard Corduroy Cotton Shirt,Checked Ombre Printed Mock Collar Bomber Jacket,"Beach cotton outfits,",Yes,"By its vibe or aesthetic (e.g., ""minimalist dress,"" ""chic outfit,"" ""romantic dress,"" ""picnic dress"")"
6/29/2024 19:37:01,Yes,During occasions,Gold-Toned Embellished Sequined Bodycon Dress,Floral Printed Square Neck A-Line Midi Dress,Brown Minimalist Men Wear,Checked Ombre Printed Mock Collar Bomber Jacket,,Maybe,Depends
6/29/2024 19:38:19,Yes,Weekly,Partywear,Pastel Blue Floral Dress,Western Shirts,Checked Ombre Printed Mock Collar Bomber Jacket,Party outfits,Yes,"By specific details of tailoring or fit (e.g., ""tight fit white long dress,"" ""flowy bib collar light green dress"")"
6/29/2024 19:38:29,No,During occasions,Partywear,Casual Dresses,Brown Minimalist Men Wear,Black Jacket,,Maybe,Depends
6/29/2024 19:45:26,Yes,During occasions,Gold Partywear Bodycon,Pastel Blue Floral Dress,Western Shirts,Black Jacket,,Yes,"By specific details of tailoring or fit (e.g., ""tight fit white long dress,"" ""flowy bib collar light green dress"")"
6/29/2024 19:49:28,Yes,Never,Gold-Toned Embellished Sequined Bodycon Dress,Floral Printed Square Neck A-Line Midi Dress,Western Shirts,Black Jacket,,Yes,Depends
6/29/2024 19:52:16,Yes,During occasions,Gold Partywear Bodycon,Pastel Blue Floral Dress,Brown Minimalist Men Wear,Monochrome Black Jacket,,Yes,"By its vibe or aesthetic (e.g., ""minimalist dress,"" ""chic outfit,"" ""romantic dress,"" ""picnic dress"")"
6/29/2024 19:58:38,Yes,During occasions,Gold Partywear Bodycon,Casual Dresses,Western Shirts,Black Jacket,,Yes,Depends
6/29/2024 20:15:03,Yes,Weekly,Gold Partywear Bodycon,Pastel Blue Floral Dress,Men Standard Corduroy Cotton Shirt,Monochrome Black Jacket,,No,"By specific details of tailoring or fit (e.g., ""tight fit white long dress,"" ""flowy bib collar light green dress"")"
6/29/2024 20:29:49,Yes,During occasions,Gold Partywear Bodycon,Pastel Blue Floral Dress,Brown Minimalist Men Wear,Monochrome Black Jacket,,Maybe,Depends
6/29/2024 20:30:26,Yes,During occasions,Partywear,Casual Dresses,Brown Minimalist Men Wear,Monochrome Black Jacket,,Maybe,Depends
6/29/2024 20:32:17,Yes,Weekly,Partywear,Casual Dresses,Men Standard Corduroy Cotton Shirt,Monochrome Black Jacket,,Yes,Depends
6/29/2024 20:39:50,Yes,During occasions,Gold Partywear Bodycon,Casual Dresses,Western Shirts,Black Jacket,Yes,Maybe,Depends
6/29/2024 20:40:41,Yes,During occasions,Gold Partywear Bodycon,Casual Dresses,Western Shirts,Monochrome Black Jacket,,Yes,"By its vibe or aesthetic (e.g., ""minimalist dress,"" ""chic outfit,"" ""romantic dress,"" ""picnic dress"")"
6/29/2024 20:41:39,Yes,During occasions,Gold Partywear Bodycon,Floral Printed Square Neck A-Line Midi Dress,Brown Minimalist Men Wear,Checked Ombre Printed Mock Collar Bomber Jacket,,Yes,"By its vibe or aesthetic (e.g., ""minimalist dress,"" ""chic outfit,"" ""romantic dress,"" ""picnic dress"")"
6/29/2024 20:42:06,Yes,During occasions,Gold-Toned Embellished Sequined Bodycon Dress,Floral Printed Square Neck A-Line Midi Dress,Brown Minimalist Men Wear,Monochrome Black Jacket,,Yes,"By specific details of tailoring or fit (e.g., ""tight fit white long dress,"" ""flowy bib collar light green dress"")"
6/29/2024 21:02:41,Yes,During occasions,Gold-Toned Embellished Sequined Bodycon Dress,Pastel Blue Floral Dress,Western Shirts,Black Jacket,,Yes,Depends
6/29/2024 21:08:00,Yes,Weekly,Gold Partywear Bodycon,Casual Dresses,Men Standard Corduroy Cotton Shirt,Checked Ombre Printed Mock Collar Bomber Jacket,Half sleeves,Yes,"By its vibe or aesthetic (e.g., ""minimalist dress,"" ""chic outfit,"" ""romantic dress,"" ""picnic dress"")"
6/29/2024 22:05:01,Yes,During occasions,Partywear,Casual Dresses,Western Shirts,Checked Ombre Printed Mock Collar Bomber Jacket,,Yes,"By its vibe or aesthetic (e.g., ""minimalist dress,"" ""chic outfit,"" ""romantic dress,"" ""picnic dress"")"
6/29/2024 22:48:41,Yes,During occasions,Partywear,Casual Dresses,Brown Minimalist Men Wear,Black Jacket,No,No,Depends
6/30/2024 0:21:54,Yes,During occasions,Partywear,Pastel Blue Floral Dress,Western Shirts,Monochrome Black Jacket,,Maybe,Depends
6/30/2024 9:38:57,Yes,During occasions,Gold Partywear Bodycon,Floral Printed Square Neck A-Line Midi Dress,Western Shirts,Monochrome Black Jacket,,Yes,"By specific details of tailoring or fit (e.g., ""tight fit white long dress,"" ""flowy bib collar light green dress"")"
6/30/2024 10:27:56,Yes,During occasions,Partywear,Casual Dresses,Brown Minimalist Men Wear,Monochrome Black Jacket,for collage wear,No,Depends
6/30/2024 10:34:23,Yes,During occasions,Gold Partywear Bodycon,Floral Printed Square Neck A-Line Midi Dress,Brown Minimalist Men Wear,Monochrome Black Jacket,Western outfits women,Maybe,Depends
6/30/2024 14:27:51,Yes,Weekly,Gold Partywear Bodycon,Pastel Blue Floral Dress,Brown Minimalist Men Wear,Black Jacket,Goa trip outfits,Yes,"By its vibe or aesthetic (e.g., ""minimalist dress,"" ""chic outfit,"" ""romantic dress,"" ""picnic dress"")"
6/30/2024 21:20:19,Yes,During occasions,Partywear,Casual Dresses,Men Standard Corduroy Cotton Shirt,Monochrome Black Jacket,Cotton ,Yes,"By its vibe or aesthetic (e.g., ""minimalist dress,"" ""chic outfit,"" ""romantic dress,"" ""picnic dress"")"
